"model.id","drug","time","volume","body.weight"
"X.007.CL57","CLR457",37,457.1,18.3
"X.007.evus","everolimus",0,230.4,24
"X.007.evus","everolimus",5,353.6,24.4
"X.007.evus","everolimus",8,487.3,25.1
"X.007.evus","everolimus",12,478,24.5
"X.007.evus","everolimus",15,547,24.9
"X.007.evus","everolimus",19,618.9,25.5
"X.007.evus","everolimus",22,731.8,26.1
"X.007.evus","everolimus",26,675.3,24.7
"X.007.evus","everolimus",29,768.8,25.4
"X.007.evus","everolimus",33,865.4,25
"X.007.fiab","figitumumab",0,237.1,20.6
"X.007.fiab","figitumumab",3,384.6,20.9
"X.007.fiab","figitumumab",6,529.4,21.1
"X.007.fiab","figitumumab",10,1253.6,21.9
"X.007.HD01","HDM201",0,281.3,22.2
"X.007.HD01","HDM201",4,780.1,23.1
"X.007.HD01","HDM201",7,908.4,21.9
"X.007.HD01","HDM201",11,1211.7,22.4
"X.007.HS90","HSP990",0,256.8,22
"X.007.HS90","HSP990",5,179,16
"X.007.HS90","HSP990",8,174.2,18.6
"X.007.HS90","HSP990",12,213.6,22.4
"X.007.HS90","HSP990",15,180.1,22.5
"X.007.HS90","HSP990",19,221.5,23
"X.007.HS90","HSP990",22,249.6,23.5
"X.007.HS90","HSP990",26,344.3,23.3
"X.007.HS90","HSP990",29,581.1,23
"X.007.IN80","INC280",0,300.4,22.9
"X.007.IN80","INC280",3,809.7,22.2
"X.007.IN80","INC280",6,731.4,22.4
"X.007.IN80","INC280",9,968.6,22.1
"X.007.IN80","INC280",13,1726.2,23
"X.007.IN80.trab","INC280 + trastuzumab",0,291.9,23.8
"X.007.IN80.trab","INC280 + trastuzumab",3,751,25.1
"X.007.IN80.trab","INC280 + trastuzumab",6,945.4,23.5
"X.007.IN80.trab","INC280 + trastuzumab",9,800,23.9
"X.007.IN80.trab","INC280 + trastuzumab",13,748.8,22.5
"X.007.IN80.trab","INC280 + trastuzumab",16,749.6,22
"X.007.IN80.trab","INC280 + trastuzumab",20,805.6,22.3
"X.007.IN80.trab","INC280 + trastuzumab",23,1024.1,23.3
"X.007.IN80.trab","INC280 + trastuzumab",27,1047.1,22.3
"X.007.IN80.trab","INC280 + trastuzumab",30,1662.5,22.9
"X.007.LE11","LEE011",0,274.5,22.2
"X.007.LE11","LEE011",4,876.5,22.7
"X.007.LE11","LEE011",7,1091.3,22.8
"X.007.LE11","LEE011",11,1386.7,22.7
"X.007.LE11.evus","LEE011 + everolimus",0,272.1,19.3
"X.007.LE11.evus","LEE011 + everolimus",3,446,17.4
"X.007.LE11.evus","LEE011 + everolimus",6,459.5,15.7
"X.007.LE11.evus","LEE011 + everolimus",10,352.2,15.3
"X.007.LE11.evus","LEE011 + everolimus",13,269.1,16.1
"X.007.LJ16","LJM716",0,238.7,20.6
"X.007.LJ16","LJM716",3,533.2,20.5
"X.007.LJ16","LJM716",6,802,21
"X.007.LJ16","LJM716",9,1041.6,20.8
"X.007.LJ16","LJM716",13,1975.1,22.3
"X.007.LJ16.trab","LJM716 + trastuzumab",0,300.9,20.6
"X.007.LJ16.trab","LJM716 + trastuzumab",3,925.3,21.1
"X.007.LJ16.trab","LJM716 + trastuzumab",6,963.2,21.5
"X.007.LJ16.trab","LJM716 + trastuzumab",9,1366.3,22.3
"X.007.LJ16.trab","LJM716 + trastuzumab",13,1942.6,22.3
"X.007.LL71","LLM871",0,270.2,21.3
"X.007.LL71","LLM871",4,684.5,22
"X.007.LL71","LLM871",7,923.3,21.8
"X.007.LL71","LLM871",11,1507.6,22.2
"X.007.trab","trastuzumab",0,216.1,26.2
"X.007.trab","trastuzumab",3,248.1,26.3
"X.007.trab","trastuzumab",6,336.7,25.5
"X.007.trab","trastuzumab",10,516.7,25.6
"X.007.trab","trastuzumab",13,315.7,23.6
"X.007.trab","trastuzumab",17,618.2,23.3
"X.007.trab","trastuzumab",20,721,22.4
"X.007.trab","trastuzumab",24,948.2,21.7
"X.007.trab","trastuzumab",27,922.2,20.5
"X.007.trab","trastuzumab",31,966.3,20.3
"X.010.BG98","BGJ398",0,214.5,24.2
"X.010.BG98","BGJ398",4,236.4,24.6
"X.010.BG98","BGJ398",11,332,23.3
"X.010.BG98","BGJ398",14,321.4,24.2
"X.010.BG98","BGJ398",18,301.6,22.2
"X.010.BG98","BGJ398",21,311.9,24.1
"X.010.BG98","BGJ398",25,338.8,23.7
"X.010.BG98","BGJ398",28,347.8,24.8
"X.010.BG98","BGJ398",32,358.5,24.4
"X.010.BG98","BGJ398",35,307.1,24.4
"X.010.BG98","BGJ398",38,250.8,25.5
"X.010.BG98","BGJ398",44,165.7,25.1
"X.010.BG98","BGJ398",48,144.2,26.2
"X.010.BG98","BGJ398",52,88.1,25.5
"X.010.BG98","BGJ398",60,74.9,25.2
"X.010.BG98","BGJ398",64,95.5,25.3
"X.010.BG98","BGJ398",69,95.2,25
"X.010.BG98","BGJ398",73,129.1,25.2
"X.010.BG98","BGJ398",77,99.6,24.7
"X.010.BG98","BGJ398",81,117.3,24.1
"X.010.BG98","BGJ398",84,97.2,24.5
"X.010.BG98","BGJ398",88,141.5,24.6
"X.010.BG98","BGJ398",91,137.2,25.1
"X.010.BG98","BGJ398",96,173.5,24.9
"X.010.BG98","BGJ398",102,204.2,24.8
"X.010.BG98","BGJ398",107,203.8,24.8
"X.010.BG98","BGJ398",112,196.4,24.8
"X.010.BG98","BGJ398",117,266.8,24.1
"X.010.BG98","BGJ398",122,279.4,25.5
"X.010.BG98","BGJ398",125,288.2,22.7
"X.010.BG98","BGJ398",133,348.1,24.2
"X.010.BG98","BGJ398",143,500.8,24.1
"X.010.BG98","BGJ398",147,542.3,22.6
"X.010.BG98","BGJ398",150,611.1,23.7
"X.010.BG98","BGJ398",157,668.1,23.8
"X.010.biib","binimetinib",0,293.3,23.2
"X.010.biib","binimetinib",3,507.2,21.6
"X.010.biib","binimetinib",7,594.7,22.7
"X.010.biib","binimetinib",10,483.8,22.7
"X.010.biib","binimetinib",14,498.3,20
"X.010.biib","binimetinib",16,531.6,21.5
"X.010.biib","binimetinib",21,702.4,19.5
"X.010.biib","binimetinib",26,496.6,18.6
"X.010.biib","binimetinib",30,588.9,19.9
"X.010.biib","binimetinib",34,480.5,20.7
"X.010.biib","binimetinib",37,539.9,19.6
"X.010.biib","binimetinib",41,681.8,18.9
"X.010.biib","binimetinib",44,607.2,17.9
"X.010.biib","binimetinib",48,541.5,19.1
"X.010.biib","binimetinib",52,617.4,18.9
"X.010.biib","binimetinib",58,784.9,20.4
"X.010.BK20","BKM120",0,247.9,25.6
"X.010.BK20","BKM120",4,263.2,26.5
"X.010.BK20","BKM120",11,372.3,23.8
"X.010.BK20","BKM120",14,304,22.6
"X.010.BK20","BKM120",18,356.8,23
"X.010.BK20","BKM120",21,369.5,23.6
"X.010.BK20","BKM120",25,374.7,24.1
"X.010.BK20","BKM120",28,419.1,23.3
"X.010.BK20","BKM120",32,438.1,24.1
"X.010.BK20","BKM120",35,463.5,24.3
"X.010.BK20","BKM120",38,480.6,22.8
"X.010.BK20","BKM120",44,610.2,22.7
"X.010.BK20","BKM120",48,601.8,22.4
"X.010.BK20","BKM120",52,601,21.6
"X.010.BK20","BKM120",55,621.6,19.5
"X.010.BK20","BKM120",60,635,18.6
"X.010.BK20","BKM120",64,671.7,17.8
"X.010.BK20","BKM120",69,786.7,19.7
"X.010.BK20","BKM120",73,1059.4,20.5
"X.010.BK20","BKM120",77,1466.9,21
"X.010.BY19","BYL719",0,199.5,25.7
"X.010.BY19","BYL719",4,221.9,24.2
"X.010.BY19","BYL719",7,227,24.1
"X.010.BY19","BYL719",11,250.7,23.7
"X.010.BY19","BYL719",14,301.6,23
"X.010.BY19","BYL719",18,378.7,21.9
"X.010.BY19","BYL719",21,396.1,19.7
"X.010.BY19","BYL719",24,410.9,19.1
"X.010.BY19","BYL719",30,526.4,18.7
"X.010.BY19","BYL719",34,727.9,20
"X.010.BY19","BYL719",38,881.6,18.3
"X.010.BY19.HS90","BYL719 + HSP990",0,213.1,25
"X.010.BY19.HS90","BYL719 + HSP990",3,209.3,24.3
"X.010.BY19.HS90","BYL719 + HSP990",7,177.7,24.6
"X.010.BY19.HS90","BYL719 + HSP990",10,190.3,NA
"X.010.BY19.HS90","BYL719 + HSP990",14,274.3,24.9
"X.010.BY19.HS90","BYL719 + HSP990",16,256.6,24.8
"X.010.BY19.HS90","BYL719 + HSP990",21,308.1,25.4
"X.010.BY19.HS90","BYL719 + HSP990",26,338.7,22.8
"X.010.BY19.HS90","BYL719 + HSP990",30,212.8,22.3
"X.010.BY19.HS90","BYL719 + HSP990",34,238.4,23.1
"X.010.BY19.HS90","BYL719 + HSP990",37,214,24
"X.010.BY19.HS90","BYL719 + HSP990",41,277,23.9
"X.010.BY19.HS90","BYL719 + HSP990",44,262.8,24
"X.010.BY19.HS90","BYL719 + HSP990",48,252.1,23.6
"X.010.BY19.HS90","BYL719 + HSP990",52,259.9,23.5
"X.010.BY19.HS90","BYL719 + HSP990",58,287,22.7
"X.010.BY19.HS90","BYL719 + HSP990",63,348.4,20.2
"X.010.BY19.HS90","BYL719 + HSP990",66,392.3,21.5
"X.010.BY19.HS90","BYL719 + HSP990",69,360.2,21.7
"X.010.BY19.HS90","BYL719 + HSP990",72,344.3,21.6
"X.010.BY19.HS90","BYL719 + HSP990",77,478.5,21.8
"X.010.BY19.HS90","BYL719 + HSP990",80,418.3,21.9
"X.010.BY19.HS90","BYL719 + HSP990",84,447.1,22.1
"X.010.BY19.HS90","BYL719 + HSP990",87,433.2,20.8
"X.010.BY19.HS90","BYL719 + HSP990",91,413.7,19
"X.010.BY19.LJ16","BYL719 + LJM716",0,297.7,26.9
"X.010.BY19.LJ16","BYL719 + LJM716",3,477.2,24.1
"X.010.BY19.LJ16","BYL719 + LJM716",7,653.2,22.3
"X.010.BY19.LJ16","BYL719 + LJM716",10,823.3,20.3
"X.010.BY19.LJ16","BYL719 + LJM716",14,1214.1,20.7
"X.010.BY19.LJ16","BYL719 + LJM716",16,1213.2,19
"X.010.BY19.LJ16","BYL719 + LJM716",21,1318.2,19.6
"X.010.CL57","CLR457",0,228.3,25.2
"X.010.CL57","CLR457",3,340.3,23.4
"X.010.CL57","CLR457",7,267.2,22.5
"X.010.CL57","CLR457",10,319.5,21
"X.010.CL57","CLR457",14,328.4,21.1
"X.010.CL57","CLR457",16,283.1,21.6
"X.010.CL57","CLR457",21,325.4,21.2
"X.010.CL57","CLR457",26,305.2,18.4
"X.010.CL57","CLR457",30,327.2,17.2
"X.010.evus","everolimus",0,223.3,22.9
"X.010.evus","everolimus",4,304.4,22.8
"X.010.evus","everolimus",11,365.5,21.6
"X.010.evus","everolimus",14,354.2,20.8
"X.010.evus","everolimus",18,502.1,20.2
"X.010.evus","everolimus",21,536,19.9
"X.010.evus","everolimus",25,555.2,19.5
"X.010.evus","everolimus",28,633.4,19.6
"X.010.evus","everolimus",32,629.6,18.2
"X.010.evus","everolimus",35,712.2,17.9
"X.010.evus","everolimus",38,946.3,18.8
"X.010.fiab","figitumumab",0,210.4,24.6
"X.010.fiab","figitumumab",3,220.6,25.5
"X.010.fiab","figitumumab",7,194.1,25.3
"X.010.fiab","figitumumab",10,248.4,25.3
"X.010.fiab","figitumumab",14,349.6,26.5
"X.010.fiab","figitumumab",17,446.3,24.8
"X.010.fiab","figitumumab",20,452.2,26
"X.010.fiab","figitumumab",26,553.2,25.7
"X.010.fiab","figitumumab",30,778.1,25.4
"X.010.fiab","figitumumab",34,973.1,25.6
"X.010.HD01","HDM201",0,225.6,23.6
"X.010.HD01","HDM201",3,241.7,23.8
"X.010.HD01","HDM201",7,234.3,23
"X.010.HD01","HDM201",10,329.9,23.3
"X.010.HD01","HDM201",14,338.8,22.7
"X.010.HD01","HDM201",17,439.3,23.8
"X.010.HD01","HDM201",20,462.5,24.3
"X.010.HD01","HDM201",26,618.2,22
"X.010.HD01","HDM201",30,771.6,23.2
"X.010.HD01","HDM201",34,852.9,21.6
"X.010.HD01","HDM201",37,974.3,21.4
"X.010.HD01","HDM201",42,1120.9,21.2
"X.010.HS90","HSP990",0,276.4,24.7
"X.010.HS90","HSP990",3,347.4,24.4
"X.010.HS90","HSP990",7,549.4,24
"X.010.HS90","HSP990",10,907.7,23.5
"X.010.HS90","HSP990",14,1334,22.8
"X.010.IN80","INC280",0,211.9,22
"X.010.IN80","INC280",3,222.8,20.1
"X.010.IN80","INC280",7,353.3,18.8
"X.010.IN80","INC280",10,298.6,17.2
"X.010.IN80","INC280",14,630.7,17.2
"X.010.IN80","INC280",16,521.5,17.2
"X.010.IN80","INC280",21,864.3,18.2
"X.010.IN80.trab","INC280 + trastuzumab",0,218.6,22.6
"X.010.IN80.trab","INC280 + trastuzumab",4,223,24.3
"X.010.IN80.trab","INC280 + trastuzumab",7,246.4,22.9
"X.010.IN80.trab","INC280 + trastuzumab",11,281.8,23.2
"X.010.IN80.trab","INC280 + trastuzumab",13,286.7,22.7
"X.010.IN80.trab","INC280 + trastuzumab",18,313,23
"X.010.IN80.trab","INC280 + trastuzumab",23,685.8,21.9
"X.010.IN80.trab","INC280 + trastuzumab",27,875,21.5
"X.010.IN80.trab","INC280 + trastuzumab",31,1175.6,21.4
"X.010.LE11","LEE011",0,282.2,23.4
"X.010.LE11","LEE011",7,298.2,22.1
"X.010.LE11","LEE011",11,309.3,21.4
"X.010.LE11","LEE011",14,285.4,23.9
"X.010.LE11","LEE011",18,303.1,23.7
"X.010.LE11","LEE011",21,328,23.3
"X.010.LE11","LEE011",24,325.8,22.5
"X.010.LE11","LEE011",30,357.1,20
"X.010.LE11","LEE011",34,336.8,21.2
"X.010.LE11","LEE011",38,390,21.7
"X.010.LE11","LEE011",41,425.5,20.2
"X.010.LE11","LEE011",46,425.9,21.8
"X.010.LE11","LEE011",50,411.7,21.8
"X.010.LE11","LEE011",55,551,20.4
"X.010.LE11","LEE011",59,471,21.8
"X.010.LE11","LEE011",63,497.4,20.5
"X.010.LE11","LEE011",67,480.3,21
"X.010.LE11","LEE011",70,405.2,22.2
"X.010.LE11","LEE011",74,322.8,22
"X.010.LE11","LEE011",77,315.2,22.7
"X.010.LE11","LEE011",82,258.7,20.2
"X.010.LE11","LEE011",88,238.5,21.2
"X.010.LE11","LEE011",93,250.8,19.9
"X.010.LE11","LEE011",98,245.2,20.2
"X.010.LE11","LEE011",103,279.2,18.2
"X.010.LE11","LEE011",108,380.3,18.2
"X.010.LE11","LEE011",111,478.4,18.8
"X.010.LE11.evus","LEE011 + everolimus",0,213.6,25
"X.010.LE11.evus","LEE011 + everolimus",3,193.3,25.4
"X.010.LE11.evus","LEE011 + everolimus",7,196.9,25.4
"X.010.LE11.evus","LEE011 + everolimus",10,180.5,23.5
"X.010.LE11.evus","LEE011 + everolimus",16,157.6,22.8
"X.010.LE11.evus","LEE011 + everolimus",21,128.9,21.5
"X.010.LE11.evus","LEE011 + everolimus",26,115.6,20.7
"X.010.LE11.evus","LEE011 + everolimus",30,152.2,21.1
"X.010.LE11.evus","LEE011 + everolimus",34,152.9,21.4
"X.010.LE11.evus","LEE011 + everolimus",37,144.5,22.4
"X.010.LE11.evus","LEE011 + everolimus",44,132.4,21.4
"X.010.LE11.evus","LEE011 + everolimus",48,161,20.9
"X.010.LE11.evus","LEE011 + everolimus",52,123.3,21.2
"X.010.LE11.evus","LEE011 + everolimus",58,138.6,22
"X.010.LE11.evus","LEE011 + everolimus",63,164.8,21.4
"X.010.LE11.evus","LEE011 + everolimus",66,143.7,21.5
"X.010.LE11.evus","LEE011 + everolimus",69,168.5,21.3
"X.010.LE11.evus","LEE011 + everolimus",72,169,21.9
"X.010.LE11.evus","LEE011 + everolimus",77,148.8,21.7
"X.010.LE11.evus","LEE011 + everolimus",80,171.6,21.8
"X.010.LE11.evus","LEE011 + everolimus",84,184.8,22.4
"X.010.LE11.evus","LEE011 + everolimus",87,188.4,20.9
"X.010.LE11.evus","LEE011 + everolimus",91,144.2,21.7
"X.010.LE11.evus","LEE011 + everolimus",95,143.8,21.5
"X.010.LE11.evus","LEE011 + everolimus",101,137.9,22.3
"X.010.LE11.evus","LEE011 + everolimus",108,169.9,21.5
"X.010.LE11.evus","LEE011 + everolimus",112,131.9,21.1
"X.010.LE11.evus","LEE011 + everolimus",118,161.3,17.6
"X.010.LJ16","LJM716",0,286.6,21.9
"X.010.LJ16","LJM716",3,426.8,20.9
"X.010.LJ16","LJM716",7,785.6,19.5
"X.010.LJ16","LJM716",10,832.6,17.7
"X.010.LJ16","LJM716",14,997.7,19.3
"X.010.LJ16","LJM716",16,891,19.4
"X.010.LJ16","LJM716",21,1171.5,19.5
"X.010.LJ16.trab","LJM716 + trastuzumab",0,210.4,21.2
"X.010.LJ16.trab","LJM716 + trastuzumab",3,283.5,21.7
"X.010.LJ16.trab","LJM716 + trastuzumab",7,309.6,22.1
"X.010.LJ16.trab","LJM716 + trastuzumab",10,365.5,20.4
"X.010.LJ16.trab","LJM716 + trastuzumab",14,442.3,20.6
"X.010.LJ16.trab","LJM716 + trastuzumab",16,365.5,20.6
"X.010.LJ16.trab","LJM716 + trastuzumab",21,610.1,21.8
"X.010.LJ16.trab","LJM716 + trastuzumab",26,600,20.8
"X.010.LJ16.trab","LJM716 + trastuzumab",30,616.6,19.7
"X.010.LJ16.trab","LJM716 + trastuzumab",34,660.2,20.9
"X.010.LJ16.trab","LJM716 + trastuzumab",37,716.5,18.6
"X.010.LJ16.trab","LJM716 + trastuzumab",44,1271.4,19.5
"X.010.LJ16.trab","LJM716 + trastuzumab",48,1727.3,19.9
"X.010.LL71","LLM871",0,223.2,26.7
"X.010.LL71","LLM871",3,245.3,27.8
"X.010.LL71","LLM871",7,272,27.5
"X.010.LL71","LLM871",10,267.5,27.4
"X.010.LL71","LLM871",14,291.8,27.2
"X.010.LL71","LLM871",17,294.7,27.6
"X.010.LL71","LLM871",20,178.9,27.4
"X.010.LL71","LLM871",26,39,27.4
"X.010.LL71","LLM871",30,0,28.4
"X.010.LL71","LLM871",34,0,27.6
"X.010.LL71","LLM871",37,0,27.8
"X.010.LL71","LLM871",42,0,27.5
"X.010.LL71","LLM871",51,0,27.8
"X.010.LL71","LLM871",55,0,28.4
"X.010.LL71","LLM871",59,0,28.5
"X.010.LL71","LLM871",63,22.7,28.5
"X.010.LL71","LLM871",66,59,28.8
"X.010.LL71","LLM871",70,130.1,28
"X.010.LL71","LLM871",73,164.3,26.8
"X.010.LL71","LLM871",78,123.7,25.4
"X.010.LL71","LLM871",84,128.1,26.9
"X.010.LL71","LLM871",89,173.1,26.6
"X.010.LL71","LLM871",94,167.5,26.7
"X.010.LL71","LLM871",99,198.3,27.5
"X.010.LL71","LLM871",104,205.8,26.8
"X.010.LL71","LLM871",107,247.4,28
"X.010.LL71","LLM871",115,282.8,27.8
"X.010.LL71","LLM871",125,238.1,28.4
"X.010.LL71","LLM871",129,247.6,28.1
"X.010.LL71","LLM871",132,223.8,29.1
"X.010.LL71","LLM871",139,301.2,29.4
"X.010.LL71","LLM871",147,532,28.7
"X.010.LL71","LLM871",155,1033.3,30.6
"X.010.trab","trastuzumab",0,200.3,25
"X.010.trab","trastuzumab",4,211.3,25.3
"X.010.trab","trastuzumab",7,269.6,26
"X.010.trab","trastuzumab",11,288.4,25.3
"X.010.trab","trastuzumab",14,379.2,25.4
"X.010.trab","trastuzumab",18,563.5,25.9
"X.010.trab","trastuzumab",21,511.2,26.4
"X.010.trab","trastuzumab",24,599.7,25.8
"X.010.trab","trastuzumab",30,750.9,25.3
"X.010.trab","trastuzumab",34,905.9,26
"X.010.trab","trastuzumab",38,991.2,25.2
"X.010.trab","trastuzumab",41,1126,24.4
"X.010.trab","trastuzumab",46,1469.3,24
"X.010.uned","untreated",0,250.4,23.7
"X.010.uned","untreated",3,281,25
"X.010.uned","untreated",6,313.1,NA
"X.010.uned","untreated",9,344.1,23.9
"X.010.uned","untreated",12,305,23.2
"X.010.uned","untreated",15,447.2,24.1
"X.010.uned","untreated",19,559.9,25.1
"X.010.uned","untreated",24,862.1,24
"X.010.uned","untreated",28,1115.5,24.5
"X.010.uned","untreated",33,1712.6,24.6
"X.011.BG98","BGJ398",0,200.5,20
"X.011.BG98","BGJ398",2,196.6,19.8
"X.011.BG98","BGJ398",6,263.6,20.1
"X.011.BG98","BGJ398",9,337.2,20.5
"X.011.BG98","BGJ398",13,368.8,20.8
"X.011.BG98","BGJ398",16,432,20.3
"X.011.BG98","BGJ398",20,567.3,20.4
"X.011.BG98","BGJ398",24,787.2,19.5
"X.011.biib","binimetinib",0,215.7,26
"X.011.biib","binimetinib",2,161.2,26.8
"X.011.biib","binimetinib",8,229,27.5
"X.011.biib","binimetinib",13,379,27
"X.011.biib","binimetinib",16,380.3,26.3
"X.011.biib","binimetinib",19,360.9,26.2
"X.011.biib","binimetinib",22,395.7,26.4
"X.011.biib","binimetinib",27,403,26.8
"X.011.biib","binimetinib",30,498.6,26
"X.011.biib","binimetinib",34,385.6,27.1
"X.011.biib","binimetinib",37,430.3,26.5
"X.011.biib","binimetinib",41,482,26.2
"X.011.biib","binimetinib",45,613.2,25.5
"X.011.biib","binimetinib",51,491.5,26.7
"X.011.biib","binimetinib",58,719.8,26.1
"X.011.biib","binimetinib",62,575.5,26.4
"X.011.biib","binimetinib",68,686.9,26.9
"X.011.BK20","BKM120",0,201.7,22.8
"X.011.BK20","BKM120",3,216.1,23.8
"X.011.BK20","BKM120",8,275.5,24.4
"X.011.BK20","BKM120",12,345.1,24.7
"X.011.BK20","BKM120",17,382.8,24.5
"X.011.BK20","BKM120",21,495.8,24.7
"X.011.BK20","BKM120",25,594.8,25.2
"X.011.BK20","BKM120",29,678.1,25.4
"X.011.BK20","BKM120",32,799.6,25.7
"X.011.BK20","BKM120",36,854.7,26.5
"X.011.BK20","BKM120",39,875,26.1
"X.011.BK20","BKM120",44,1057,24.6
"X.011.BK20","BKM120",50,1229.6,24.2
"X.011.BK20","BKM120",55,1123.8,24.3
"X.011.BK20","BKM120",60,1408.3,23.2
"X.011.BY19","BYL719",0,202.4,24.1
"X.011.BY19","BYL719",3,247,24.7
"X.011.BY19","BYL719",8,267.4,24
"X.011.BY19","BYL719",12,418.7,25.2
"X.011.BY19","BYL719",17,434.4,24.6
"X.011.BY19","BYL719",21,510.1,26.2
"X.011.BY19","BYL719",25,572,24.6
"X.011.BY19","BYL719",29,708.8,26.1
"X.011.BY19","BYL719",32,718.5,26.2
"X.011.BY19","BYL719",36,833.5,25.9
"X.011.BY19","BYL719",39,934.7,26.1
"X.011.BY19","BYL719",44,940.6,25.3
"X.011.BY19","BYL719",50,1022.2,24.1
"X.011.BY19","BYL719",55,1275.6,23.4
"X.011.BY19","BYL719",60,1264.9,23.6
"X.011.BY19.HS90","BYL719 + HSP990",0,235.7,24.1
"X.011.BY19.HS90","BYL719 + HSP990",5,217.5,24.4
"X.011.BY19.HS90","BYL719 + HSP990",9,273.4,22.2
"X.011.BY19.HS90","BYL719 + HSP990",15,315.6,22.9
"X.011.BY19.HS90","BYL719 + HSP990",20,323.3,24.4
"X.011.BY19.HS90","BYL719 + HSP990",23,444,25.5
"X.011.BY19.HS90","BYL719 + HSP990",29,463.2,25.8
"X.011.BY19.HS90","BYL719 + HSP990",34,551.9,26.5
"X.011.BY19.HS90","BYL719 + HSP990",37,695.4,24.3
"X.011.BY19.HS90","BYL719 + HSP990",41,568.1,25.5
"X.011.BY19.HS90","BYL719 + HSP990",44,442.4,25
"X.011.BY19.HS90","BYL719 + HSP990",48,693.4,25.9
"X.011.BY19.HS90","BYL719 + HSP990",52,632.1,24.5
"X.011.BY19.HS90","BYL719 + HSP990",58,634.3,25
"X.011.BY19.HS90","BYL719 + HSP990",65,698.5,25
"X.011.BY19.HS90","BYL719 + HSP990",69,1002.9,23.8
"X.011.BY19.LJ16","BYL719 + LJM716",0,222.8,23.5
"X.011.BY19.LJ16","BYL719 + LJM716",4,200.3,22.3
"X.011.BY19.LJ16","BYL719 + LJM716",7,284.9,22.2
"X.011.BY19.LJ16","BYL719 + LJM716",11,245.8,20.4
"X.011.BY19.LJ16","BYL719 + LJM716",14,253.4,20.5
"X.011.BY19.LJ16","BYL719 + LJM716",18,307.3,19.3
"X.011.BY19.LJ16","BYL719 + LJM716",21,313.4,18.6
"X.011.BY19.LJ16","BYL719 + LJM716",25,265.2,17.9
"X.011.CL57","CLR457",0,203,23.4
"X.011.CL57","CLR457",6,200.7,23.2
"X.011.CL57","CLR457",9,191,23.2
"X.011.CL57","CLR457",13,156.4,21.9
"X.011.CL57","CLR457",16,163.6,21.2
"X.011.CL57","CLR457",20,182.8,21.3
"X.011.CL57","CLR457",23,204.7,23
"X.011.CL57","CLR457",27,221.3,21.8
"X.011.CL57","CLR457",30,165.8,20.6
"X.011.evus","everolimus",0,225.3,20.3
"X.011.evus","everolimus",4,246.1,19.9
